Position,Business Title,Location,Description,Asking Price,Cash Flow,Revenue,Listing URL,Image URL,P/E Ratio,Website
196,Profitable Coffee & Tea Retail Distributor,GTA ON,"This Coffee and Tea distributor is situated just East of Toronto and services the entire region from their very well-appointed Retail Center. Offering Coffee, Tea, Sweeteners, Syrups, Brewing...",195000,90000,,https://www.bizbuysell.com/Business-Opportunity/profitable-coffee-and-tea-retail-distributor/2233459/,https://images.bizbuysell.com/shared/listings/223/2233459/3166cfbf-976f-4749-9fa8-7493eee4e23d-W336.jpg,2.2,https://www.bizbuysell.com/
197,Turnkey Profitable Industrial Repair Shop for Sale,Ontario,"This business is a highly reputable industrial repair shop with a distinguished 20+ year legacy in the industry. This thriving business has consistently demonstrated impressive profitability, making...",1590000,489790,,https://www.bizbuysell.com/Business-Opportunity/turnkey-profitable-industrial-repair-shop-for-sale/2233221/,https://images.bizbuysell.com/shared/listings/223/2233221/2e2b4c0b-f2f5-4ce1-be6f-b4924f36c79c-W336.jpg,3.2,https://www.bizbuysell.com/
198,Two Established Boston Pizza Locations in Prime City,SW Ontario ON,"Capitalize on the opportunity to acquire two Boston Pizza franchises, each with a storied legacy of success. With over twenty years of combined operation, these well-established locations offer a...",1000000,195004,,https://www.bizbuysell.com/Business-Opportunity/two-established-boston-pizza-locations-in-prime-city/2232281/,https://images.bizbuysell.com/shared/listings/223/2232281/57f44962-d1b4-4479-990b-0f08508bc1c6-W336.jpg,5.1,https://www.bizbuysell.com/
199,Hand & Stone Massage and Facial Spa,Available in Canada,"Hand & Stone Massage and Facial Spa delivers affordable luxury experiences that include relaxing and rejuvenating massages, skincare facials, spa services, and more.",150000,,,https://www.bizbuysell.com/franchise-for-sale/hand-and-stone-massage-and-facial-spa/?f_irts=false&f_bfssr=1&b_st=ON,https://images.bizbuysell.com/fnw/images/2241/2353/82756c48-c793-4275-9a83-68644a950baf.png,,https://www.bizbuysell.com/
200,Leading Architectural Signage Manufacturing and Installation Business,Eastern Ontario ON,Jump on the opportunity to own this well-trusted company that has been providing turnkey solutions for architectural and decorative signage for over two decades. This business focuses on providing...,950000,315487,,https://www.bizbuysell.com/Business-Opportunity/leading-architectural-signage-manufacturing-and-installation-business/2232278/,https://images.bizbuysell.com/shared/listings/223/2232278/4eff50d0-2ff9-4a10-8672-86ca07e2b7b9-W336.png,3,https://www.bizbuysell.com/
201,Smart Home Automation Company – 28-year legacy,GTA ON,"With over 28 years of industry experience, this established smart home automation business specializes in delivering cutting-edge automation technology solutions. From design consultation to...",500000,259000,,https://www.bizbuysell.com/Business-Opportunity/smart-home-automation-company-28-year-legacy/2230498/,https://images.bizbuysell.com/shared/listings/223/2230498/293237cf-1cf1-48a0-8a7e-f3af4de2a2b6-W336.png,1.9,https://www.bizbuysell.com/
202,"Profitable, Niche General Contractor and Millwork Business For Sale",Vaughan ON,"We help buyers seek financing with only 10% cash required. Over 51% SDE. Since 2011, this niche general contracting business has been generating consistent revenues and profits. They specialize in...",7500000,2018405,,https://www.bizbuysell.com/Business-Opportunity/profitable-niche-general-contractor-and-millwork-business-for-sale/2183538/,https://images.bizbuysell.com/shared/listings/218/2183538/a2b5d97f-7916-462f-9b24-e799cd646eec-W336.jpg,3.7,https://www.bizbuysell.com/
203,Profitable Neighbourhood Bar & Kitchen,West of GTA ON,This bar and kitchen is located in a A+ location the perfect the spot for neighbours to gather and for residents to drive too for great food and service!...,225000,70000,,https://www.bizbuysell.com/Business-Opportunity/profitable-neighbourhood-bar-and-kitchen/2228522/,https://images.bizbuysell.com/shared/listings/222/2228522/f0689251-bdf5-453b-9138-bd528cffcaab-W336.png,3.2,https://www.bizbuysell.com/
204,Injection Mold Parts Manufacturer,Ontario,"Highly experienced parts manufacturer specializing in plastic mold parts, and polyurethane foam mold parts with strong production staff and management in place. The business well positioned for many...",10000000,,,https://www.bizbuysell.com/Business-Opportunity/injection-mold-parts-manufacturer/2223280/,https://images.bizbuysell.com/shared/listings/222/2223280/c0eb8850-55a8-4519-8258-26a25f5187e2-W336.jpg,,https://www.bizbuysell.com/
206,"Custom Glass, Shower and Mirror Installation Company",Ontario,"Over 20 years industry experience with installations in both residential and commercial buildings The Company works with new home builders, construction companies and homeowners Licensed authorized...",,,,https://www.bizbuysell.com/Business-Opportunity/custom-glass-shower-and-mirror-installation-company/2223139/,https://images.bizbuysell.com/shared/listings/222/2223139/c0e1ec23-5e21-4d37-ba3e-f3764a86eb4d-W336.jpg,,https://www.bizbuysell.com/
207,Renowned Auto Repair Business – Turnkey Investment,GTA ON,"Presenting a reputable automotive service center boasting nearly two decades of dedicated service to the community. Renowned for its unwavering commitment to customer satisfaction, the establishment...",750000,276000,,https://www.bizbuysell.com/Business-Opportunity/renowned-auto-repair-business-turnkey-investment/2221390/,https://images.bizbuysell.com/shared/listings/222/2221390/f7e372be-aa49-4485-873b-ca8822b7b35d-W336.png,2.7,https://www.bizbuysell.com/
208,Safety and Communication Solutions in Senior Care Industry,Toronto ON,A well-established company servicing senior care industry. Currently following an owner-operator model with certain services outsourced outside of its home market. Scalable model. Highlights: -...,1251000,358000,,https://www.bizbuysell.com/Business-Opportunity/safety-and-communication-solutions-in-senior-care-industry/2220229/,https://images.bizbuysell.com/shared/listings/222/2220229/a0872198-e463-4d02-8b44-92b2c99d0c62-W336.jpg,3.5,https://www.bizbuysell.com/
209,High Earning & Reputable Hair Salon: Absentee Ownership/Passive Income,GTA ON,"Explore a rewarding investment opportunity in the flourishing hair salon sector. This established salon has been profitably running for more than three decades, ensuring a loyal customer base, a...",350000,386000,,https://www.bizbuysell.com/Business-Opportunity/high-earning-and-reputable-hair-salon-absentee-ownership-passive-income/2219053/,https://images.bizbuysell.com/shared/listings/221/2219053/468c2b00-85db-4865-b176-1da64492bf9b-W336.png,0.9,https://www.bizbuysell.com/
210,Closet Factory,Available in Canada,"Closet Factory is a best buy in home organization segment. Simply put, custom closets are a huge business opportunity. Custom Organization Systems for every room in your home.",200000,,,https://www.bizbuysell.com/franchise-for-sale/closet-factory-home-services-repair/?f_irts=false&f_bfssr=1&b_st=ON,https://images.bizbuysell.com/fnw/images/80/80/ea0c3b35-c226-4e8d-ad74-e7b971d40bc2.jpg,,https://www.bizbuysell.com/
211,Highly Profitable Award-Winning Beauty Supply Store and Salon,West GTA ON,"With a 30-year legacy and strong reputation in the beauty industry, this franchise is positioned for success. Located within a bustling Triple A Mall, this is the perfect turnkey business and no...",720000,624000,,https://www.bizbuysell.com/Business-Opportunity/highly-profitable-award-winning-beauty-supply-store-and-salon/2219049/,https://images.bizbuysell.com/shared/listings/221/2219049/cf1b2cf1-8de9-4ac4-a8bc-0845104431f3-W336.png,1.2,https://www.bizbuysell.com/
212,Top Performing School Catering and Wholesale Bakery,GTA ON,"Explore a thriving investment opportunity in a prime location with this successful wholesale bakery and convenience store. With over 40 years of operation, it generates a monthly net profit of...",1650000,1100000,,https://www.bizbuysell.com/Business-Opportunity/top-performing-school-catering-and-wholesale-bakery/2219046/,https://images.bizbuysell.com/shared/listings/221/2219046/7be7697a-b296-43b5-9da4-40d3c590d05c-W336.png,1.5,https://www.bizbuysell.com/
213,Licensed Turnkey Montessori,GTA ON,A successful private school located in a well developed area in the GTA. Offering quality educational and recreational programs to students from 18 months to 6 years. The scope of augmenting revenue...,480000,,,https://www.bizbuysell.com/Business-Opportunity/licensed-turnkey-montessori/2218095/,https://images.bizbuysell.com/shared/listings/221/2218095/c24d7f16-4b65-4da7-b431-5aff01802f4a-W336.png,,https://www.bizbuysell.com/
214,Profitable and Turnkey Event Venue Business for Sale,GTA ON,"Explore a rare opportunity with an acclaimed event venue in the GTA poised for continued growth. Boasting over 15 years of success, this premier establishment specializes in curating unforgettable...",600000,316000,,https://www.bizbuysell.com/Business-Opportunity/profitable-and-turnkey-event-venue-business-for-sale/2215344/,https://images.bizbuysell.com/shared/listings/221/2215344/95ab334c-dcdf-45a1-b60c-e894c4f983f8-W336.png,1.9,https://www.bizbuysell.com/
215,Profitable and Popular Franchise Convenience Store,Toronto ON,This is a franchise Convenience Store that is very profitable. The store is located in a prime location in downtown Toronto and has been operating successfully over the years. The brand itself has...,110000,55000,,https://www.bizbuysell.com/Business-Opportunity/profitable-and-popular-franchise-convenience-store/2213041/,https://images.bizbuysell.com/shared/listings/221/2213041/8df647b0-3b4a-4519-977e-d0eea9eff692-W336.jpg,2,https://www.bizbuysell.com/
216,Unique Opportunity in the Retail Sector,Southwestern Ontario ON,"A well-established, multifaceted retail business, boasting a 26-year history of consistent growth and customer loyalty. Located within a thriving seasonal community, this business offers a unique...",1100000,460000,,https://www.bizbuysell.com/Business-Opportunity/unique-opportunity-in-the-retail-sector/2212832/,https://images.bizbuysell.com/shared/listings/221/2212832/6b0b8166-7258-4b65-96c7-400bc23c9fed-W336.jpg,2.4,https://www.bizbuysell.com/
218,Profitable and successful franchise print shop with a 38 year history,Hamilton / Niagara ON,"Business is known for its high quality, exceptional customer service and competitive pricing. Turn-key business that is consistently profitable. As a franchise, the business stays up to date on the...",270000,128000,,https://www.bizbuysell.com/Business-Opportunity/profitable-and-successful-franchise-print-shop-with-a-38-year-history/2212823/,https://images.bizbuysell.com/shared/listings/221/2212823/4454e6d5-f744-4c28-9398-b12a5e13de47-W336.png,2.1,https://www.bizbuysell.com/
219,Well-Established and Lucrative Commercial Disposal Business,GTA ON,Discover a lucrative investment opportunity in a well-established disposal business catering to the Greater Toronto Area (GTA). This trusted partner which started in 1991 boasts a fleet of four trucks...,1800000,512000,,https://www.bizbuysell.com/Business-Opportunity/well-established-and-lucrative-commercial-disposal-business/2211681/,https://images.bizbuysell.com/shared/listings/221/2211681/3c7985d6-adc3-4a72-8fcf-93b7bd0d40af-W336.png,3.5,https://www.bizbuysell.com/
220,Profitable Trendsetting Medical Spa,Toronto ON,"Business specializes in a comprehensive range of cosmetic and wellness services, catering to the diverse needs of our clients. Known for expertise in providing a wide array of treatments and...",550000,175000,,https://www.bizbuysell.com/Business-Opportunity/profitable-trendsetting-medical-spa/2211115/,https://images.bizbuysell.com/shared/listings/221/2211115/c1332c1d-73ed-48c5-bb67-4fa44e0e7f48-W336.png,3.1,https://www.bizbuysell.com/
221,Sport Clips,Available in Canada,"Sport Clips is a manager-style business model that’s designed for scalability to multiple units! With more than 30 years’ experience and culture at our core, join the leading men’s hair care brand today!",200000,,,https://www.bizbuysell.com/franchise-for-sale/sport-clips-hair-cut-men-boys-barber-salon-franchise/?f_irts=false&f_bfssr=1&b_st=ON,https://images.bizbuysell.com/fnw/images/349/349/5bb60e7c-cbc9-41e5-976d-add82a76e7b6.png,,https://www.bizbuysell.com/
222,Profitable Boston Pizza Franchise - SW Ontario,SW Ontario ON,"This established Boston Pizza location stands as a beacon of success, boasting profitability and a prime location in the heart of a bustling plaza along a major road. This esteemed restaurant enjoys a...",825000,201465,,https://www.bizbuysell.com/Business-Opportunity/profitable-boston-pizza-franchise-sw-ontario/2210151/,https://images.bizbuysell.com/shared/listings/221/2210151/1c8b5b0f-c974-4f40-8291-17fe9c5f80aa-W336.jpg,4.1,https://www.bizbuysell.com/
